Road_Type,Weather,Traffic_Density,Speed_Limit,Bike_Speed,Accident_Severity
City Road,Foggy,8.0,80.0,103.0,Moderate Accident
City Road,Rainy,6.0,80.0,91.0,Moderate Accident
City Road,Clear,8.0,80.0,109.0,Moderate Accident
City Road,Foggy,8.0,80.0,86.0,Moderate Accident
City Road,Rainy,3.0,80.0,113.0,Moderate Accident
City Road,Clear,2.0,80.0,119.0,Moderate Accident
City Road,Foggy,6.0,80.0,109.0,Moderate Accident
City Road,Rainy,8.0,80.0,99.0,Moderate Accident
City Road,Clear,6.0,80.0,85.0,Moderate Accident
City Road,Foggy,2.0,80.0,101.0,Moderate Accident
City Road,Rainy,8.0,80.0,99.0,Moderate Accident
City Road,Clear,6.0,80.0,106.0,Moderate Accident
City Road,Foggy,7.0,80.0,102.0,Moderate Accident
City Road,Rainy,7.0,80.0,93.0,Moderate Accident
City Road,Clear,5.0,80.0,85.0,Moderate Accident
City Road,Foggy,8.0,80.0,101.0,Moderate Accident
City Road,Rainy,8.0,80.0,80.0,Moderate Accident
City Road,Clear,4.0,80.0,92.0,Moderate Accident
City Road,Foggy,2.0,80.0,108.0,Moderate Accident
City Road,Rainy,3.0,80.0,98.0,Moderate Accident
City Road,Clear,5.0,80.0,95.0,Moderate Accident
City Road,Foggy,5.0,80.0,87.0,Moderate Accident
City Road,Rainy,3.0,80.0,86.0,Moderate Accident
City Road,Clear,4.0,80.0,104.0,Moderate Accident
City Road,Foggy,2.0,80.0,105.0,Moderate Accident
City Road,Rainy,8.0,80.0,120.0,Moderate Accident
City Road,Clear,4.0,80.0,107.0,Moderate Accident
City Road,Foggy,8.0,80.0,104.0,Moderate Accident
City Road,Rainy,3.0,80.0,118.0,Moderate Accident
City Road,Clear,5.0,80.0,101.0,Moderate Accident
City Road,Foggy,4.0,80.0,110.0,Moderate Accident
City Road,Rainy,5.0,80.0,95.0,Moderate Accident
City Road,Clear,1.0,80.0,86.0,Moderate Accident
City Road,Foggy,1.0,80.0,89.0,Moderate Accident
City Road,Rainy,5.0,80.0,102.0,Moderate Accident
City Road,Clear,5.0,80.0,105.0,Moderate Accident
City Road,Foggy,8.0,80.0,106.0,Moderate Accident
City Road,Rainy,1.0,80.0,87.0,Moderate Accident
City Road,Clear,8.0,80.0,117.0,Moderate Accident
City Road,Foggy,4.0,80.0,115.0,Moderate Accident
City Road,Rainy,1.0,80.0,88.0,Moderate Accident
City Road,Clear,8.0,80.0,119.0,Moderate Accident
City Road,Foggy,6.0,80.0,110.0,Moderate Accident
City Road,Rainy,5.0,80.0,95.0,Moderate Accident
City Road,Clear,5.0,80.0,84.0,Moderate Accident
City Road,Foggy,8.0,80.0,96.0,Moderate Accident
City Road,Rainy,2.0,80.0,107.0,Moderate Accident
City Road,Clear,5.0,80.0,108.0,Moderate Accident
City Road,Foggy,7.0,80.0,104.0,Moderate Accident
City Road,Rainy,6.0,80.0,107.0,Moderate Accident
City Road,Clear,5.0,80.0,106.0,Moderate Accident
City Road,Foggy,6.0,80.0,101.0,Moderate Accident
City Road,Rainy,7.0,80.0,89.0,Moderate Accident
City Road,Clear,6.0,80.0,87.0,Moderate Accident
City Road,Foggy,5.0,80.0,115.0,Moderate Accident
City Road,Rainy,8.0,80.0,91.0,Moderate Accident
City Road,Clear,5.0,80.0,82.0,Moderate Accident
City Road,Foggy,1.0,80.0,118.0,Moderate Accident
City Road,Rainy,8.0,80.0,120.0,Moderate Accident
City Road,Clear,6.0,80.0,108.0,Moderate Accident
City Road,Foggy,3.0,80.0,103.0,Moderate Accident
City Road,Rainy,4.0,80.0,87.0,Moderate Accident
City Road,Clear,7.0,80.0,105.0,Moderate Accident
City Road,Foggy,4.0,80.0,108.0,Moderate Accident
City Road,Rainy,2.0,80.0,105.0,Moderate Accident
City Road,Clear,6.0,80.0,95.0,Moderate Accident
City Road,Foggy,8.0,80.0,86.0,Moderate Accident
City Road,Rainy,4.0,80.0,87.0,Moderate Accident
City Road,Clear,2.0,80.0,105.0,Moderate Accident
City Road,Foggy,6.0,80.0,91.0,Moderate Accident
City Road,Rainy,1.0,80.0,85.0,Moderate Accident
City Road,Clear,7.0,80.0,104.0,Moderate Accident
City Road,Foggy,2.0,80.0,90.0,Moderate Accident
City Road,Rainy,5.0,80.0,111.0,Moderate Accident
City Road,Clear,4.0,80.0,94.0,Moderate Accident
City Road,Foggy,2.0,80.0,118.0,Moderate Accident
City Road,Rainy,6.0,80.0,110.0,Moderate Accident
City Road,Clear,2.0,80.0,119.0,Moderate Accident
City Road,Foggy,7.0,80.0,96.0,Moderate Accident
City Road,Rainy,3.0,80.0,118.0,Moderate Accident
City Road,Clear,7.0,80.0,93.0,Moderate Accident
City Road,Foggy,1.0,80.0,112.0,Moderate Accident
City Road,Rainy,7.0,80.0,108.0,Moderate Accident
City Road,Clear,6.0,80.0,93.0,Moderate Accident
City Road,Foggy,2.0,80.0,109.0,Moderate Accident
City Road,Rainy,1.0,80.0,81.0,Moderate Accident
City Road,Clear,2.0,80.0,93.0,Moderate Accident
City Road,Foggy,3.0,80.0,112.0,Moderate Accident
City Road,Rainy,4.0,80.0,87.0,Moderate Accident
City Road,Clear,1.0,80.0,118.0,Moderate Accident
City Road,Foggy,2.0,80.0,120.0,Moderate Accident
City Road,Rainy,4.0,80.0,95.0,Moderate Accident
City Road,Clear,8.0,80.0,110.0,Moderate Accident
City Road,Foggy,3.0,80.0,117.0,Moderate Accident
City Road,Rainy,6.0,80.0,99.0,Moderate Accident
City Road,Clear,4.0,80.0,107.0,Moderate Accident
City Road,Foggy,5.0,80.0,99.0,Moderate Accident
City Road,Rainy,3.0,80.0,92.0,Moderate Accident
City Road,Clear,8.0,80.0,84.0,Moderate Accident
City Road,Foggy,8.0,80.0,93.0,Moderate Accident
City Road,Rainy,5.0,80.0,91.0,Moderate Accident
City Road,Clear,2.0,80.0,104.0,Moderate Accident
City Road,Foggy,7.0,80.0,107.0,Moderate Accident
City Road,Rainy,2.0,80.0,99.0,Moderate Accident
City Road,Clear,2.0,80.0,90.0,Moderate Accident
City Road,Foggy,1.0,80.0,88.0,Moderate Accident
City Road,Rainy,7.0,80.0,116.0,Moderate Accident
City Road,Clear,5.0,80.0,95.0,Moderate Accident
City Road,Foggy,8.0,80.0,117.0,Moderate Accident
City Road,Rainy,8.0,80.0,95.0,Moderate Accident
City Road,Clear,5.0,80.0,107.0,Moderate Accident
City Road,Foggy,8.0,80.0,93.0,Moderate Accident
City Road,Rainy,6.0,80.0,101.0,Moderate Accident
City Road,Clear,2.0,80.0,112.0,Moderate Accident
City Road,Foggy,7.0,80.0,107.0,Moderate Accident
City Road,Rainy,1.0,80.0,100.0,Moderate Accident
City Road,Clear,5.0,80.0,116.0,Moderate Accident
City Road,Foggy,5.0,80.0,86.0,Moderate Accident
City Road,Rainy,7.0,80.0,116.0,Moderate Accident
City Road,Clear,1.0,80.0,108.0,Moderate Accident
City Road,Foggy,1.0,80.0,108.0,Moderate Accident
City Road,Rainy,8.0,80.0,114.0,Moderate Accident
City Road,Clear,1.0,80.0,84.0,Moderate Accident
City Road,Foggy,4.0,80.0,92.0,Moderate Accident
City Road,Rainy,1.0,80.0,117.0,Moderate Accident
City Road,Clear,5.0,80.0,120.0,Moderate Accident
City Road,Foggy,1.0,80.0,117.0,Moderate Accident
City Road,Rainy,7.0,80.0,92.0,Moderate Accident
City Road,Clear,8.0,80.0,87.0,Moderate Accident
City Road,Foggy,4.0,80.0,107.0,Moderate Accident
City Road,Rainy,7.0,80.0,102.0,Moderate Accident
City Road,Clear,6.0,80.0,106.0,Moderate Accident
City Road,Foggy,1.0,80.0,95.0,Moderate Accident
City Road,Rainy,7.0,80.0,115.0,Moderate Accident
City Road,Clear,3.0,80.0,120.0,Moderate Accident
City Road,Foggy,7.0,80.0,117.0,Moderate Accident
City Road,Rainy,3.0,80.0,115.0,Moderate Accident
City Road,Clear,8.0,80.0,109.0,Moderate Accident
City Road,Foggy,6.0,80.0,103.0,Moderate Accident
City Road,Rainy,1.0,80.0,90.0,Moderate Accident
City Road,Clear,6.0,80.0,88.0,Moderate Accident
City Road,Foggy,8.0,80.0,91.0,Moderate Accident
City Road,Rainy,3.0,80.0,118.0,Moderate Accident
City Road,Clear,7.0,80.0,120.0,Moderate Accident
City Road,Foggy,7.0,80.0,93.0,Moderate Accident
City Road,Rainy,5.0,80.0,94.0,Moderate Accident
City Road,Clear,1.0,80.0,80.0,Moderate Accident
City Road,Foggy,3.0,80.0,98.0,Moderate Accident
City Road,Rainy,6.0,80.0,107.0,Moderate Accident
City Road,Clear,6.0,80.0,99.0,Moderate Accident
City Road,Foggy,1.0,80.0,115.0,Moderate Accident
City Road,Rainy,1.0,80.0,109.0,Moderate Accident
City Road,Clear,8.0,80.0,87.0,Moderate Accident
City Road,Foggy,8.0,80.0,108.0,Moderate Accident
City Road,Rainy,1.0,80.0,93.0,Moderate Accident
City Road,Clear,6.0,80.0,112.0,Moderate Accident
City Road,Foggy,8.0,80.0,85.0,Moderate Accident
City Road,Rainy,8.0,80.0,97.0,Moderate Accident
City Road,Clear,2.0,80.0,88.0,Moderate Accident
City Road,Foggy,3.0,80.0,98.0,Moderate Accident
City Road,Rainy,8.0,80.0,102.0,Moderate Accident
City Road,Clear,3.0,80.0,91.0,Moderate Accident
City Road,Foggy,6.0,80.0,112.0,Moderate Accident
City Road,Rainy,7.0,80.0,85.0,Moderate Accident
City Road,Clear,8.0,80.0,93.0,Moderate Accident
City Road,Foggy,1.0,80.0,94.0,Moderate Accident
City Road,Rainy,3.0,80.0,92.0,Moderate Accident
City Road,Clear,2.0,80.0,97.0,Moderate Accident
City Road,Foggy,8.0,80.0,105.0,Moderate Accident
City Road,Rainy,6.0,80.0,104.0,Moderate Accident
City Road,Clear,5.0,80.0,116.0,Moderate Accident
City Road,Foggy,8.0,80.0,80.0,Moderate Accident
City Road,Rainy,7.0,80.0,94.0,Moderate Accident
City Road,Clear,6.0,80.0,81.0,Moderate Accident
City Road,Foggy,5.0,80.0,113.0,Moderate Accident
City Road,Rainy,5.0,80.0,102.0,Moderate Accident
City Road,Clear,1.0,80.0,95.0,Moderate Accident
City Road,Foggy,8.0,80.0,92.0,Moderate Accident
City Road,Rainy,5.0,80.0,90.0,Moderate Accident
City Road,Clear,4.0,80.0,98.0,Moderate Accident
City Road,Foggy,4.0,80.0,85.0,Moderate Accident
City Road,Rainy,7.0,80.0,108.0,Moderate Accident
City Road,Clear,4.0,80.0,103.0,Moderate Accident
City Road,Foggy,1.0,80.0,110.0,Moderate Accident
City Road,Rainy,3.0,80.0,91.0,Moderate Accident
City Road,Clear,8.0,80.0,104.0,Moderate Accident
City Road,Foggy,4.0,80.0,115.0,Moderate Accident
City Road,Rainy,5.0,80.0,108.0,Moderate Accident
City Road,Clear,1.0,80.0,89.0,Moderate Accident
City Road,Foggy,4.0,80.0,118.0,Moderate Accident
City Road,Rainy,4.0,80.0,83.0,Moderate Accident
City Road,Clear,7.0,80.0,97.0,Moderate Accident
City Road,Foggy,8.0,80.0,83.0,Moderate Accident
City Road,Rainy,6.0,80.0,120.0,Moderate Accident
City Road,Clear,5.0,80.0,112.0,Moderate Accident
City Road,Foggy,8.0,80.0,90.0,Moderate Accident
City Road,Rainy,3.0,80.0,103.0,Moderate Accident
City Road,Clear,4.0,80.0,118.0,Moderate Accident
City Road,Foggy,7.0,80.0,111.0,Moderate Accident
City Road,Rainy,3.0,80.0,81.0,Moderate Accident
City Road,Clear,6.0,80.0,92.0,Moderate Accident
City Road,Foggy,7.0,80.0,84.0,Moderate Accident
City Road,Rainy,7.0,80.0,91.0,Moderate Accident
City Road,Clear,5.0,80.0,86.0,Moderate Accident
City Road,Foggy,4.0,80.0,92.0,Moderate Accident
City Road,Rainy,7.0,80.0,110.0,Moderate Accident
City Road,Clear,2.0,80.0,80.0,Moderate Accident
City Road,Foggy,5.0,80.0,84.0,Moderate Accident
City Road,Rainy,2.0,80.0,100.0,Moderate Accident
City Road,Clear,7.0,80.0,120.0,Moderate Accident
City Road,Foggy,4.0,80.0,101.0,Moderate Accident
City Road,Rainy,3.0,80.0,98.0,Moderate Accident
City Road,Clear,6.0,80.0,114.0,Moderate Accident
City Road,Foggy,5.0,80.0,109.0,Moderate Accident
City Road,Rainy,7.0,80.0,116.0,Moderate Accident
City Road,Clear,1.0,80.0,89.0,Moderate Accident
City Road,Foggy,5.0,80.0,116.0,Moderate Accident
City Road,Rainy,8.0,80.0,108.0,Moderate Accident
City Road,Clear,5.0,80.0,117.0,Moderate Accident
City Road,Foggy,5.0,80.0,106.0,Moderate Accident
City Road,Rainy,1.0,80.0,85.0,Moderate Accident
City Road,Clear,2.0,80.0,119.0,Moderate Accident
City Road,Foggy,2.0,80.0,100.0,Moderate Accident
City Road,Rainy,2.0,80.0,86.0,Moderate Accident
City Road,Clear,2.0,80.0,102.0,Moderate Accident
City Road,Foggy,1.0,80.0,84.0,Moderate Accident
City Road,Rainy,8.0,80.0,115.0,Moderate Accident
City Road,Clear,3.0,80.0,100.0,Moderate Accident
City Road,Foggy,1.0,80.0,106.0,Moderate Accident
City Road,Rainy,5.0,80.0,82.0,Moderate Accident
City Road,Clear,1.0,80.0,95.0,Moderate Accident
City Road,Foggy,7.0,80.0,85.0,Moderate Accident
City Road,Rainy,8.0,80.0,107.0,Moderate Accident
City Road,Clear,4.0,80.0,86.0,Moderate Accident
City Road,Foggy,8.0,80.0,81.0,Moderate Accident
City Road,Rainy,3.0,80.0,113.0,Moderate Accident
City Road,Clear,8.0,80.0,84.0,Moderate Accident
City Road,Foggy,8.0,80.0,105.0,Moderate Accident
City Road,Rainy,6.0,80.0,91.0,Moderate Accident
City Road,Clear,1.0,80.0,119.0,Moderate Accident
City Road,Foggy,4.0,80.0,116.0,Moderate Accident
City Road,Rainy,6.0,80.0,119.0,Moderate Accident
City Road,Clear,8.0,80.0,107.0,Moderate Accident
City Road,Foggy,5.0,80.0,82.0,Moderate Accident
City Road,Rainy,3.0,80.0,85.0,Moderate Accident
City Road,Clear,2.0,80.0,113.0,Moderate Accident
City Road,Foggy,5.0,80.0,120.0,Moderate Accident
City Road,Rainy,7.0,50.0,43.0,Moderate Accident
City Road,Clear,5.0,50.0,42.0,Moderate Accident
City Road,Foggy,7.0,50.0,39.0,Moderate Accident
City Road,Rainy,2.0,60.0,51.0,Moderate Accident
City Road,Clear,4.0,50.0,43.0,Moderate Accident
City Road,Foggy,1.0,50.0,39.0,Moderate Accident
City Road,Rainy,1.0,50.0,41.0,Moderate Accident
City Road,Clear,4.0,50.0,50.0,Moderate Accident
City Road,Foggy,5.0,50.0,50.0,Moderate Accident
City Road,Rainy,8.0,50.0,41.0,Moderate Accident
City Road,Clear,3.0,50.0,50.0,Moderate Accident
City Road,Foggy,6.0,50.0,50.0,Moderate Accident
City Road,Rainy,7.0,50.0,40.0,Moderate Accident
City Road,Clear,8.0,60.0,55.0,Moderate Accident
City Road,Foggy,4.0,50.0,43.0,Moderate Accident
City Road,Rainy,6.0,50.0,37.0,Moderate Accident
City Road,Clear,1.0,50.0,35.0,Moderate Accident
City Road,Foggy,2.0,50.0,36.0,Moderate Accident
City Road,Rainy,2.0,50.0,37.0,Moderate Accident
City Road,Clear,8.0,50.0,38.0,Moderate Accident
City Road,Foggy,6.0,50.0,35.0,Moderate Accident
City Road,Rainy,7.0,40.0,34.0,Moderate Accident
City Road,Clear,8.0,40.0,27.0,Moderate Accident
City Road,Foggy,1.0,50.0,35.0,Moderate Accident
City Road,Rainy,7.0,50.0,43.0,Moderate Accident
City Road,Clear,2.0,50.0,39.0,Moderate Accident
City Road,Foggy,7.0,40.0,30.0,Moderate Accident
City Road,Rainy,3.0,50.0,40.0,Moderate Accident
City Road,Clear,6.0,50.0,40.0,Moderate Accident
City Road,Foggy,4.0,50.0,39.0,Moderate Accident
City Road,Rainy,5.0,50.0,42.0,Moderate Accident
City Road,Clear,1.0,50.0,42.0,Moderate Accident
City Road,Foggy,3.0,50.0,44.0,Moderate Accident
City Road,Rainy,3.0,50.0,45.0,Moderate Accident
City Road,Clear,5.0,60.0,52.0,Moderate Accident
City Road,Foggy,6.0,50.0,45.0,Moderate Accident
City Road,Rainy,4.0,50.0,40.0,Moderate Accident
City Road,Clear,6.0,50.0,42.0,Moderate Accident
City Road,Foggy,2.0,60.0,54.0,Moderate Accident
City Road,Rainy,7.0,50.0,37.0,Moderate Accident
City Road,Clear,3.0,50.0,36.0,Moderate Accident
City Road,Foggy,5.0,50.0,39.0,Moderate Accident
City Road,Rainy,4.0,50.0,41.0,Moderate Accident
City Road,Clear,2.0,50.0,43.0,Moderate Accident
City Road,Foggy,8.0,50.0,44.0,Moderate Accident
City Road,Rainy,7.0,50.0,41.0,Moderate Accident
City Road,Clear,4.0,40.0,28.0,Moderate Accident
City Road,Foggy,1.0,50.0,38.0,Moderate Accident
City Road,Rainy,6.0,60.0,45.0,Moderate Accident
City Road,Clear,5.0,50.0,39.0,Moderate Accident
City Road,Foggy,5.0,50.0,40.0,Moderate Accident
City Road,Rainy,7.0,50.0,44.0,Moderate Accident
City Road,Clear,8.0,50.0,42.0,Moderate Accident
City Road,Foggy,4.0,40.0,27.0,Moderate Accident
City Road,Rainy,6.0,50.0,37.0,Moderate Accident
City Road,Clear,7.0,60.0,54.0,Moderate Accident
City Road,Foggy,5.0,50.0,50.0,Moderate Accident
City Road,Rainy,3.0,50.0,44.0,Moderate Accident
City Road,Clear,4.0,50.0,36.0,Moderate Accident
City Road,Foggy,7.0,50.0,35.0,Moderate Accident
City Road,Rainy,1.0,50.0,39.0,Moderate Accident
City Road,Clear,1.0,50.0,37.0,Moderate Accident
City Road,Foggy,6.0,40.0,35.0,Moderate Accident
City Road,Rainy,7.0,50.0,44.0,Moderate Accident
City Road,Clear,1.0,50.0,42.0,Moderate Accident
City Road,Foggy,8.0,50.0,40.0,Moderate Accident
City Road,Rainy,8.0,40.0,33.0,Moderate Accident
City Road,Clear,7.0,50.0,37.0,Moderate Accident
City Road,Foggy,5.0,50.0,39.0,Moderate Accident
City Road,Rainy,4.0,60.0,49.0,Moderate Accident
City Road,Clear,4.0,50.0,42.0,Moderate Accident
City Road,Foggy,4.0,50.0,36.0,Moderate Accident
City Road,Rainy,4.0,50.0,38.0,Moderate Accident
City Road,Clear,3.0,40.0,33.0,Moderate Accident
City Road,Foggy,1.0,50.0,35.0,Moderate Accident
City Road,Rainy,7.0,50.0,43.0,Moderate Accident
City Road,Clear,6.0,50.0,39.0,Moderate Accident
City Road,Foggy,1.0,50.0,35.0,Moderate Accident
City Road,Rainy,8.0,50.0,43.0,Moderate Accident
City Road,Clear,4.0,60.0,45.0,Moderate Accident
City Road,Foggy,8.0,50.0,35.0,Moderate Accident
City Road,Rainy,6.0,60.0,52.0,Moderate Accident
City Road,Clear,3.0,40.0,33.0,Moderate Accident
City Road,Foggy,2.0,50.0,37.0,Moderate Accident
City Road,Rainy,8.0,50.0,36.0,Moderate Accident
City Road,Clear,8.0,50.0,40.0,Moderate Accident
City Road,Foggy,4.0,50.0,44.0,Moderate Accident
City Road,Rainy,1.0,50.0,45.0,Moderate Accident
City Road,Clear,4.0,50.0,36.0,Moderate Accident
City Road,Foggy,2.0,50.0,39.0,Moderate Accident
City Road,Rainy,5.0,50.0,39.0,Moderate Accident
City Road,Clear,7.0,50.0,36.0,Moderate Accident
City Road,Foggy,6.0,50.0,44.0,Moderate Accident
City Road,Rainy,7.0,50.0,40.0,Moderate Accident
City Road,Clear,5.0,40.0,35.0,Moderate Accident
City Road,Foggy,8.0,60.0,55.0,Moderate Accident
City Road,Rainy,3.0,50.0,43.0,Moderate Accident
City Road,Clear,4.0,50.0,42.0,Moderate Accident
City Road,Foggy,8.0,50.0,50.0,Moderate Accident
City Road,Rainy,1.0,60.0,51.0,Moderate Accident
City Road,Clear,2.0,50.0,37.0,Moderate Accident
City Road,Foggy,6.0,50.0,39.0,Moderate Accident
City Road,Rainy,6.0,50.0,35.0,Moderate Accident
City Road,Clear,7.0,50.0,50.0,Moderate Accident
City Road,Foggy,2.0,50.0,37.0,Moderate Accident
City Road,Rainy,1.0,50.0,42.0,Moderate Accident
City Road,Clear,3.0,50.0,32.0,Moderate Accident
City Road,Foggy,1.0,50.0,38.0,Moderate Accident
Highway,Rainy,4.0,80.0,94.0,Moderate Accident
Highway,Clear,2.0,80.0,101.0,Moderate Accident
Highway,Foggy,2.0,80.0,89.0,Moderate Accident
Highway,Rainy,8.0,80.0,95.0,Moderate Accident
Highway,Clear,6.0,80.0,80.0,Moderate Accident
Highway,Foggy,7.0,80.0,87.0,Moderate Accident
Highway,Rainy,2.0,80.0,92.0,Moderate Accident
Highway,Clear,8.0,80.0,88.0,Moderate Accident
Highway,Foggy,8.0,80.0,88.0,Moderate Accident
Highway,Rainy,6.0,80.0,80.0,Moderate Accident
Highway,Clear,2.0,80.0,92.0,Moderate Accident
Highway,Foggy,6.0,80.0,120.0,Moderate Accident
Highway,Rainy,2.0,80.0,100.0,Moderate Accident
Highway,Clear,1.0,80.0,109.0,Moderate Accident
Highway,Foggy,1.0,80.0,113.0,Moderate Accident
Highway,Rainy,5.0,80.0,93.0,Moderate Accident
Highway,Clear,4.0,80.0,97.0,Moderate Accident
Highway,Foggy,1.0,80.0,118.0,Moderate Accident
Highway,Rainy,2.0,80.0,87.0,Moderate Accident
Highway,Clear,5.0,80.0,114.0,Moderate Accident
Highway,Foggy,2.0,80.0,95.0,Moderate Accident
Highway,Rainy,2.0,80.0,118.0,Moderate Accident
Highway,Clear,6.0,80.0,101.0,Moderate Accident
Highway,Foggy,7.0,80.0,106.0,Moderate Accident
Highway,Rainy,7.0,80.0,89.0,Moderate Accident
Highway,Clear,3.0,80.0,107.0,Moderate Accident
Highway,Foggy,8.0,80.0,117.0,Moderate Accident
Highway,Rainy,1.0,80.0,96.0,Moderate Accident
Highway,Clear,7.0,80.0,102.0,Moderate Accident
Highway,Foggy,2.0,80.0,91.0,Moderate Accident
Highway,Rainy,4.0,80.0,113.0,Moderate Accident
Highway,Clear,6.0,80.0,103.0,Moderate Accident
Highway,Foggy,7.0,80.0,112.0,Moderate Accident
Highway,Rainy,8.0,80.0,109.0,Moderate Accident
Highway,Clear,6.0,80.0,81.0,Moderate Accident
Highway,Foggy,4.0,80.0,113.0,Moderate Accident
Highway,Rainy,2.0,80.0,84.0,Moderate Accident
Highway,Clear,5.0,80.0,119.0,Moderate Accident
Highway,Foggy,7.0,80.0,120.0,Moderate Accident
Highway,Rainy,8.0,80.0,83.0,Moderate Accident
Highway,Clear,1.0,80.0,119.0,Moderate Accident
Highway,Foggy,6.0,80.0,100.0,Moderate Accident
Highway,Rainy,3.0,80.0,108.0,Moderate Accident
Highway,Clear,8.0,80.0,84.0,Moderate Accident
Highway,Foggy,8.0,80.0,88.0,Moderate Accident
Highway,Rainy,8.0,80.0,91.0,Moderate Accident
Highway,Clear,5.0,80.0,87.0,Moderate Accident
Highway,Foggy,4.0,80.0,118.0,Moderate Accident
Highway,Rainy,1.0,80.0,110.0,Moderate Accident
Highway,Clear,3.0,80.0,105.0,Moderate Accident
Highway,Foggy,3.0,80.0,81.0,Moderate Accident
Highway,Rainy,8.0,80.0,86.0,Moderate Accident
Highway,Clear,6.0,80.0,99.0,Moderate Accident
Highway,Foggy,4.0,80.0,98.0,Moderate Accident
Highway,Rainy,7.0,80.0,105.0,Moderate Accident
Highway,Clear,4.0,80.0,90.0,Moderate Accident
Highway,Foggy,4.0,80.0,120.0,Moderate Accident
Highway,Rainy,6.0,80.0,101.0,Moderate Accident
Highway,Clear,4.0,80.0,99.0,Moderate Accident
Highway,Foggy,3.0,80.0,97.0,Moderate Accident
Highway,Rainy,8.0,80.0,86.0,Moderate Accident
Highway,Clear,6.0,80.0,96.0,Moderate Accident
Highway,Foggy,6.0,80.0,103.0,Moderate Accident
Highway,Rainy,1.0,80.0,119.0,Moderate Accident
Highway,Clear,1.0,80.0,83.0,Moderate Accident
Highway,Foggy,4.0,80.0,115.0,Moderate Accident
Highway,Rainy,2.0,80.0,99.0,Moderate Accident
Highway,Clear,7.0,80.0,80.0,Moderate Accident
Highway,Foggy,6.0,80.0,107.0,Moderate Accident
Highway,Rainy,4.0,80.0,108.0,Moderate Accident
Highway,Clear,5.0,80.0,89.0,Moderate Accident
Highway,Foggy,2.0,80.0,119.0,Moderate Accident
Highway,Rainy,3.0,80.0,85.0,Moderate Accident
Highway,Clear,3.0,80.0,80.0,Moderate Accident
Highway,Foggy,8.0,80.0,109.0,Moderate Accident
Highway,Rainy,4.0,80.0,101.0,Moderate Accident
Highway,Clear,4.0,80.0,110.0,Moderate Accident
Highway,Foggy,8.0,80.0,87.0,Moderate Accident
Highway,Rainy,6.0,80.0,104.0,Moderate Accident
Highway,Clear,8.0,80.0,80.0,Moderate Accident
Highway,Foggy,8.0,80.0,91.0,Moderate Accident
Highway,Rainy,2.0,80.0,96.0,Moderate Accident
Highway,Clear,6.0,80.0,103.0,Moderate Accident
Highway,Foggy,5.0,80.0,100.0,Moderate Accident
Highway,Rainy,4.0,80.0,119.0,Moderate Accident
Highway,Clear,7.0,80.0,97.0,Moderate Accident
Highway,Foggy,2.0,80.0,82.0,Moderate Accident
Highway,Rainy,6.0,80.0,107.0,Moderate Accident
Highway,Clear,5.0,80.0,105.0,Moderate Accident
Highway,Foggy,1.0,80.0,111.0,Moderate Accident
Highway,Rainy,5.0,80.0,96.0,Moderate Accident
Highway,Clear,3.0,80.0,82.0,Moderate Accident
Highway,Foggy,4.0,80.0,107.0,Moderate Accident
Highway,Rainy,8.0,80.0,84.0,Moderate Accident
Highway,Clear,7.0,80.0,96.0,Moderate Accident
Highway,Foggy,1.0,80.0,115.0,Moderate Accident
Highway,Rainy,6.0,80.0,91.0,Moderate Accident
Highway,Clear,2.0,80.0,118.0,Moderate Accident
Highway,Foggy,4.0,80.0,85.0,Moderate Accident
Highway,Rainy,3.0,80.0,114.0,Moderate Accident
Highway,Clear,8.0,80.0,108.0,Moderate Accident
Highway,Foggy,8.0,80.0,120.0,Moderate Accident
Highway,Rainy,6.0,80.0,89.0,Moderate Accident
Highway,Clear,7.0,80.0,80.0,Moderate Accident
Highway,Foggy,2.0,80.0,84.0,Moderate Accident
Highway,Rainy,1.0,80.0,90.0,Moderate Accident
Highway,Clear,6.0,80.0,118.0,Moderate Accident
Highway,Foggy,3.0,80.0,86.0,Moderate Accident
Highway,Rainy,2.0,80.0,90.0,Moderate Accident
Highway,Clear,5.0,80.0,96.0,Moderate Accident
Highway,Foggy,2.0,80.0,103.0,Moderate Accident
Highway,Rainy,3.0,80.0,91.0,Moderate Accident
Highway,Clear,2.0,80.0,109.0,Moderate Accident
Highway,Foggy,7.0,80.0,117.0,Moderate Accident
Highway,Rainy,1.0,80.0,104.0,Moderate Accident
Highway,Clear,8.0,80.0,88.0,Moderate Accident
Highway,Foggy,4.0,80.0,90.0,Moderate Accident
Highway,Rainy,6.0,80.0,83.0,Moderate Accident
Highway,Clear,4.0,80.0,108.0,Moderate Accident
Highway,Foggy,1.0,80.0,83.0,Moderate Accident
Highway,Rainy,4.0,80.0,92.0,Moderate Accident
Highway,Clear,8.0,80.0,88.0,Moderate Accident
Highway,Foggy,4.0,80.0,112.0,Moderate Accident
Highway,Rainy,5.0,80.0,89.0,Moderate Accident
Highway,Clear,3.0,80.0,86.0,Moderate Accident
Highway,Foggy,7.0,80.0,102.0,Moderate Accident
Highway,Rainy,2.0,80.0,101.0,Moderate Accident
Highway,Clear,7.0,80.0,88.0,Moderate Accident
Highway,Foggy,2.0,80.0,112.0,Moderate Accident
Highway,Rainy,5.0,80.0,116.0,Moderate Accident
Highway,Clear,5.0,80.0,110.0,Moderate Accident
